file_name,classification,ai_probability,explanation
discharge_summary_001.txt,human_created,0.0206,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 95.9% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_002.txt,human_created,0.0379,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 92.4% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_003.txt,human_created,0.1792,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 64.2% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_004.txt,human_created,0.4622,Detector: HuggingFace (roberta-base-openai-detector) | Borderline - mixed human/AI characteristics (40-60%) | Confidence: 7.6% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_005.txt,human_created,0.2722,Detector: HuggingFace (roberta-base-openai-detector) | Mostly human-written with minor AI-like patterns (20-40%) | Confidence: 45.6% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_006.txt,human_created,0.0043,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.1% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_007.txt,human_created,0.0554,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 88.9% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_008.txt,human_created,0.2236,Detector: HuggingFace (roberta-base-openai-detector) | Mostly human-written with minor AI-like patterns (20-40%) | Confidence: 55.3% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_009.txt,human_created,0.3101,Detector: HuggingFace (roberta-base-openai-detector) | Mostly human-written with minor AI-like patterns (20-40%) | Confidence: 38.0% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_010.txt,AI_text,0.9506,Detector: HuggingFace (roberta-base-openai-detector) | Strong AI-generated text patterns detected (>80%) | Confidence: 90.1% | Raw output: Fake | Model: roberta-base-openai-detector
discharge_summary_011.txt,human_created,0.0483,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 90.3% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_012.txt,human_created,0.3814,Detector: HuggingFace (roberta-base-openai-detector) | Mostly human-written with minor AI-like patterns (20-40%) | Confidence: 23.7% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_013.txt,human_created,0.1491,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 70.2% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_014.txt,AI_text,0.9080,Detector: HuggingFace (roberta-base-openai-detector) | Strong AI-generated text patterns detected (>80%) | Confidence: 81.6% | Raw output: Fake | Model: roberta-base-openai-detector
discharge_summary_015.txt,human_created,0.0422,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 91.6% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_016.txt,AI_text,0.5477,Detector: HuggingFace (roberta-base-openai-detector) | Borderline - mixed human/AI characteristics (40-60%) | Confidence: 9.5% | Raw output: Fake | Model: roberta-base-openai-detector
discharge_summary_017.txt,human_created,0.0268,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 94.6% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_018.txt,AI_text,0.9756,Detector: HuggingFace (roberta-base-openai-detector) | Strong AI-generated text patterns detected (>80%) | Confidence: 95.1% | Raw output: Fake | Model: roberta-base-openai-detector
discharge_summary_019.txt,human_created,0.0212,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 95.8% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_020.txt,human_created,0.1341,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 73.2% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_021.txt,human_created,0.0016,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.7% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_022.txt,human_created,0.0787,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 84.3% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_023.txt,human_created,0.0215,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 95.7% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_024.txt,human_created,0.0330,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 93.4% | Raw output: Real | Model: roberta-base-openai-detector
discharge_summary_025.txt,human_created,0.2876,Detector: HuggingFace (roberta-base-openai-detector) | Mostly human-written with minor AI-like patterns (20-40%) | Confidence: 42.5% | Raw output: Real | Model: roberta-base-openai-detector
flawed_ai_generated_style.txt,human_created,0.0025,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.5% | Raw output: Real | Model: roberta-base-openai-detector
flawed_dangerous_doses.txt,human_created,0.4491,Detector: HuggingFace (roberta-base-openai-detector) | Borderline - mixed human/AI characteristics (40-60%) | Confidence: 10.2% | Raw output: Real | Model: roberta-base-openai-detector
